BUYER_COUNTY,BUYER_STATE,year_x,DOSAGE_UNIT,TOT_POP,drugdensity,densitybins,TOT_MALE,TOT_FEMALE,WA_PER,BA_PER,IA_PER,H_PER,GRNDTOT,Poverty_Percent,Median_Income,ltHS,HS,sCorA,B+,ObesityPercent,democrat,republican,Unemp_Yearly_Rate,crimerate
DEFIANCE,OH,2009,74000,38296,1.93,1,18877,19419,95.61,2.53,0.35,7.78,2101,11.9,45229,12.3,45.25,27.2,15.25,29.1,43.38,54.57,14.12,0.05
GRAND FORKS,ND,2006,74000,66854,1.11,1,34237,32617,93.1,1.71,2.72,2.87,4026.5,14.4,40209,8.25,23.9,36.9,30.9,26.3,46.59,51.69,3.02,0.06
HENRY,IL,2012,74000,50252,1.47,1,25017,25235,96.26,1.7,0.28,5.21,0,10.8,53998,13.15,35.6,32.35,18.9,30.7,50.7,47.62,7.41,0
LA PAZ,AZ,2010,74000,20489,3.61,3,10550,9939,79.01,0.77,16.72,23.46,1302,23.7,33818,26.75,35.45,27.85,9.95,31.2,33.81,64.08,10.23,0.06
UNION,MS,2010,74000,27134,2.73,2,13255,13879,83.74,14.62,0.23,4.46,1550,20,37403,26.6,33.45,26,13.95,33.8,24.39,74.84,10.96,0.06
HENDERSON,TN,2011,73950,28011,2.64,2,13531,14480,89.96,7.82,0.25,2.04,1965,18.5,36392,24.85,40,23.35,11.85,35.1,25.74,73.05,11.16,0.07
MARION,KY,2008,73920,19401,3.81,3,9874,9527,88.89,9.31,0.11,2.15,1044.5,19.7,37766,24.25,43.7,21,11.05,31.1,47.22,50.45,6.63,0.05
MERCER,KY,2008,73900,21800,3.39,3,10704,11096,93.52,4.11,0.25,2.06,656.25,15.4,42912,19.8,39.8,25.1,15.25,31.1,31.4,67.41,6.37,0.03
SEVIER,UT,2012,73900,20658,3.58,3,10452,10206,96.68,0.27,1.37,4.77,811,16.2,45243,12.1,33.15,38.75,16,30.7,9.15,89.32,6.12,0.04
ASHLAND,OH,2008,73800,55008,1.34,1,27027,27981,96.88,1.41,0.19,1.15,1103.75,12,43151,14.15,44.75,23.1,18.05,29.2,36.95,60.23,7.47,0.02
ESSEX,NY,2009,73800,37670,1.96,1,19733,17937,94.49,3.5,0.4,2.8,1396,11.6,42924,14.35,35.7,27.45,22.5,27.7,55.93,41.01,9.13,0.04
JASPER,IA,2008,73800,36502,2.02,1,18553,17949,97.02,1.19,0.36,1.72,1110.25,10.4,48734,10.05,43.4,29.55,17,31.6,52.78,45.28,7.7,0.03
JOHNSON,TN,2011,73800,18205,4.05,3,9786,8419,96.5,2.09,0.21,1.54,887,26.1,30897,32.2,37.8,21.1,8.9,31.3,24.92,73.36,11.52,0.05
PULASKI,GA,2012,73800,11702,6.31,3,5018,6684,66.3,31.08,0.38,3.88,498,25.2,35847,23.25,38.15,25.85,12.75,31.8,33.11,66.38,7.747876585,0.04
RIPLEY,MO,2009,73750,13397,5.5,3,6606,6791,95.64,1,1.57,1.74,187,24.6,28141,29.6,36.4,24.1,9.85,31.4,31.73,65.43,9.4,0.01
CHOCTAW,AL,2012,73730,13561,5.44,3,6505,7056,56.15,43.06,0.16,0.66,59,20.8,33390,27.45,37.3,24.6,10.6,38.7,47.52,52.11,10.32,0
BROOKS,GA,2012,73700,15618,4.72,3,7602,8016,62.84,34.95,0.4,5.22,672,26.8,32176,26,37.4,24.15,12.45,35.4,46.54,52.71,7.747876585,0.04
CASSIA,ID,2010,73700,22952,3.21,2,11612,11340,96.07,0.5,1.23,24.94,1318,15.7,40739,21.05,29.55,33.4,16,30.8,15.04,82.83,7.12,0.06
CLARK,AR,2009,73700,23823,3.09,2,11411,12412,75.01,21.94,0.7,3.96,362,22.1,33857,18.25,32.05,26.6,23.1,33.8,46.52,50.91,8.09,0.02
