BUYER_COUNTY,BUYER_STATE,year_x,DOSAGE_UNIT,TOT_POP,drugdensity,densitybins,TOT_MALE,TOT_FEMALE,WA_PER,BA_PER,IA_PER,H_PER,GRNDTOT,Poverty_Percent,Median_Income,ltHS,HS,sCorA,B+,ObesityPercent,democrat,republican,Unemp_Yearly_Rate,crimerate
COLLETON,SC,2012,183570.0,38116.0,4.82,3,18322.0,19794.0,58.27,38.99,0.81,2.83,1885.0,22.0,33208.0,22.3,38.95,25.35,13.45,39.6,49.6,49.41,12.08,0.05
COFFEE,AL,2012,180750.0,51136.0,3.53,3,25299.0,25837.0,76.82,17.32,1.41,6.26,761.0,15.1,45631.0,20.7,27.75,30.5,21.0,30.2,24.91,74.18,7.04,0.01
BERKELEY,WV,2006,178000.0,96807.0,1.84,1,48228.0,48579.0,91.22,6.28,0.3,2.74,5430.5,8.9,50158.0,17.1,39.2,25.75,17.9,33.5,39.56,59.46,4.22,0.06
COLLETON,SC,2010,177080.0,38892.0,4.55,3,18747.0,20145.0,58.18,39.19,0.89,2.81,2247.0,22.6,32446.0,22.3,38.95,25.35,13.45,36.7,49.67,49.31,13.76,0.06
JEFFERSON,TN,2007,176900.0,50570.0,3.5,3,24814.0,25756.0,95.09,2.95,0.44,2.51,2873.25,17.4,39580.0,22.8,37.0,25.7,14.5,28.8,28.9,69.87,5.1,0.06
COFFEE,AL,2010,176010.0,49948.0,3.52,3,24684.0,25264.0,77.48,16.95,1.45,6.37,1987.0,20.1,40779.0,20.7,27.75,30.5,21.0,29.9,25.07,74.15,8.61,0.04
MINGO,WV,2012,174640.0,26189.0,6.67,3,12912.0,13277.0,96.75,1.86,0.08,0.65,663.0,23.8,32736.0,33.0,39.15,19.55,8.25,40.5,27.5,70.11,9.71,0.03
WINSTON,AL,2008,174600.0,24043.0,7.26,3,11888.0,12155.0,96.41,1.84,0.58,2.68,544.75,18.3,32018.0,30.1,35.25,24.1,10.6,29.3,17.52,80.78,8.73,0.02
MARION,TN,2011,173260.0,28096.0,6.17,3,13826.0,14270.0,94.17,3.73,0.45,1.39,1791.0,17.9,40136.0,27.05,36.35,25.25,11.25,28.3,38.33,59.94,10.46,0.06
MARION,SC,2012,172850.0,32410.0,5.33,3,14871.0,17539.0,41.14,56.5,0.61,2.52,1329.0,26.0,29140.0,26.65,37.1,22.95,13.3,39.2,64.65,34.46,15.86,0.04
